stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,out_of_service
200407,200407,"C. Josep Puig i Cadafalch - Av. de Torre Blanca",Marquesina,41.47167998,2.09058499,https://app.ambmobilitat.cat/stops/busamb:200407,0,0
200408,200408,"C. Josep Puig i Cadafalch - C. Ferran Romeu",Pal,41.47173123,2.08849756,https://app.ambmobilitat.cat/stops/busamb:200408,0,0
200409,200409,"C. Josep Puig i Cadafalch - C. Cèsar Martinell",Marquesina,41.47155688,2.08623981,https://app.ambmobilitat.cat/stops/busamb:200409,0,0
200411,200411,"Rambla de Ribatallada - C. Elisenda Ribatallada",Marquesina,41.46760964,2.08276569,https://app.ambmobilitat.cat/stops/busamb:200411,0,0
200930,200930,"Vila - Hotel Campus",Pal,41.4992547,2.09643154,https://app.ambmobilitat.cat/stops/busamb:200930,0,0
200412,200412,"Rambla de  Ribatallada - C. Àngel Guimerà",Marquesina,41.46653251,2.08116105,https://app.ambmobilitat.cat/stops/busamb:200412,0,0
200405,200405,"Ctra. Cerdanyola - Av. de les Roquetes (Can Magí)",Pal,41.47651253,2.09604798,https://app.ambmobilitat.cat/stops/busamb:200405,0,0
200413,200413,"Vista Rica",Pal,41.43103171,2.12578965,https://app.ambmobilitat.cat/stops/busamb:200413,0,0
200414,200414,"Ctra. Arrabassada - Tibidabo",Banderola,41.42877957,2.12269707,https://app.ambmobilitat.cat/stops/busamb:200414,0,0
200415,200415,"Ctra. Arrabassada - Camí de Sant Medir",Pal,41.43049298,2.11308872,https://app.ambmobilitat.cat/stops/busamb:200415,0,0
200416,200416,"Ctra. Arrabassada - Can Cortès",Pal,41.43118175,2.10970713,https://app.ambmobilitat.cat/stops/busamb:200416,0,0
200417,200417,"Sol i Aire",Pal,41.43839778,2.10444665,https://app.ambmobilitat.cat/stops/busamb:200417,0,0
200418,200418,"Ctra. de la Floresta",Pal,41.44733495,2.09430119,https://app.ambmobilitat.cat/stops/busamb:200418,0,0
200419,200419,"Ctra. de la Rabassada (La Floresta)",Pal,41.44982848,2.09117374,https://app.ambmobilitat.cat/stops/busamb:200419,0,0
200420,200420,"Can Vasconsel",Banderola,41.45501263,2.09039255,https://app.ambmobilitat.cat/stops/busamb:200420,0,0
200421,200421,"Av. Gràcia - Sant Francesc Xavier",Pal,41.46523193,2.08648456,https://app.ambmobilitat.cat/stops/busamb:200421,0,0
200422,200422,"Av. Gràcia - Tetuan",Pal,41.46784981,2.08433879,https://app.ambmobilitat.cat/stops/busamb:200422,0,0
