key,value,definition
wall,no,wall=no
wall,yes,wall=yes
was:building,yes,was:building=yes
wheelchair,no,wheelchair=no
wheelchair,yes,wheelchair=yes
winter_service,no,winter_service=no
winter_service,yes,winter_service=yes
working,yes,working=yes
animal_shelter:sanctuary,yes,animal_shelter:sanctuary=yes
anthropogenic,yes,anthropogenic=yes
artist:unknown,yes,artist:unknown=yes
assembly_point:earthquake,yes,assembly_point:earthquake=yes
assembly_point:fire,yes,assembly_point:fire=yes
assembly_point:flood,yes,assembly_point:flood=yes
assembly_point:landslide,yes,assembly_point:landslide=yes
assembly_point:tornado,yes,assembly_point:tornado=yes
assembly_point:tsunami,yes,assembly_point:tsunami=yes
atm,no,atm=no
baby_hatch,yes,baby_hatch=yes
barrier,no,barrier=no
bbq,yes,bbq=yes
biosphärenwirt,yes,biosphärenwirt=yes
boat:rental,yes,boat:rental=yes
bridge,no,bridge=no
bulk_purchase,yes,bulk_purchase=yes
cabin:rental,yes,cabin:rental=yes
camra,yes,camra=yes
capital,yes,capital=yes
car,no,car=no
car,yes,car=yes
center_turn_lane,yes,center_turn_lane=yes
changing_table:fee,yes,changing_table:fee=yes
club-mate,yes,club-mate=yes
cocktails,yes,cocktails=yes
collection_times:signed,no,collection_times:signed=no
consulate,yes,consulate=yes
craft,yes,craft=yes
crop,no,crop=no
crop,yes,crop=yes
cycle_highway,yes,cycle_highway=yes
cycleway,yes,cycleway=yes
cycleway:foot,no,cycleway:foot=no
demolished,yes,demolished=yes
dennert_fir_tree,yes,dennert_fir_tree=yes
destroyed,yes,destroyed=yes
diet:kosher,yes,diet:kosher=yes
diet:meat,yes,diet:meat=yes
dispensing,no,dispensing=no
drink:viez,yes,drink:viez=yes
dual_carriageway,no,dual_carriageway=no
edit_group,yes,edit_group=yes
electricity,yes,electricity=yes
embassy,yes,embassy=yes
entrance,no,entrance=no
esperanto,yes,esperanto=yes
estuary,yes,estuary=yes
european_cultural_path,yes,european_cultural_path=yes
fallow,yes,fallow=yes
fenced,yes,fenced=yes
ferry,no,ferry=no
fire_path,yes,fire_path=yes
flat_steps,yes,flat_steps=yes
footway,yes,footway=yes
forklift,no,forklift=no
forklift,yes,forklift=yes
glideslope,yes,glideslope=yes
harbour,yes,harbour=yes
hazard_prone,yes,hazard_prone=yes
hearing_loop,yes,hearing_loop=yes
highway,no,highway=no
highway,yes,highway=yes
historic,no,historic=no
hov,yes,hov=yes
irrigated,no,irrigated=no
irrigated,yes,irrigated=yes
irrigation,yes,irrigation=yes
jeepney,yes,jeepney=yes
jetski:rental,yes,jetski:rental=yes
karst,yes,karst=yes
ladder,yes,ladder=yes
landuse,yes,landuse=yes
localizer,yes,localizer=yes
lottery,yes,lottery=yes
love_locks,yes,love_locks=yes
managed,no,managed=no
maxspeed,no,maxspeed=no
medical_system:western,yes,medical_system:western=yes
memorial,yes,memorial=yes
microbrewery,yes,microbrewery=yes
military,yes,military=yes
motorcycle:clothes,yes,motorcycle:clothes=yes
motorcycle:parts,yes,motorcycle:parts=yes
motorcycle:rental,yes,motorcycle:rental=yes
motorcycle:repair,yes,motorcycle:repair=yes
motorcycle:sales,yes,motorcycle:sales=yes
motorcycle:theme,yes,motorcycle:theme=yes
motorcycle:tyres,yes,motorcycle:tyres=yes
mtb,no,mtb=no
natural,yes,natural=yes
nest_platform,yes,nest_platform=yes
noexit,no,noexit=no
nonsquare,yes,nonsquare=yes
on_demand,yes,on_demand=yes
oneway:bus,no,oneway:bus=no
oneway:motorcycle,no,oneway:motorcycle=no
oneway:psv,no,oneway:psv=no
osmarender:render,no,osmarender:render=no
osmarender:renderName,no,osmarender:renderName=no
osmarender:renderRef,no,osmarender:renderRef=no
parking,no,parking=no
parking:both:staggered,yes,parking:both:staggered=yes
passenger,no,passenger=no
passenger,yes,passenger=yes
passing_places,no,passing_places=no
payment:telephone_cards,yes,payment:telephone_cards=yes
physically_present,no,physically_present=no
pilgrimage,yes,pilgrimage=yes
place_of_mourning,yes,place_of_mourning=yes
playground,yes,playground=yes
police,yes,police=yes
pseudo,yes,pseudo=yes
radio_transponder:AIS,yes,radio_transponder:AIS=yes
ramsar,yes,ramsar=yes
real_ale,yes,real_ale=yes
real_cider,yes,real_cider=yes
reclaimed,yes,reclaimed=yes
rednap:nodo,no,rednap:nodo=no
reference_point,yes,reference_point=yes
refitted,yes,refitted=yes
refrigerated,yes,refrigerated=yes
refugee,yes,refugee=yes
repair,yes,repair=yes
request_stop,yes,request_stop=yes
review_requested,yes,review_requested=yes
road_marking,no,road_marking=no
