stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
"PF08261000","ctra. Barcelona (pl. Corretger) (A) MB0308","",41.63435370496607,2.7076677172449446,,,0,,
"PF08261011","pl. Sot de la Bòbila (Centre Comercial) MB0309","",41.6373676814913,2.7170907055903313,,,0,,
"PF08110041","av. Costa Brava - c. Pitarra","",41.64357796369997,2.7320451200908455,,,0,,
"PF08110038","av. Costa Brava (Piscina i Pavelló)","",41.64462377721456,2.7344063884985506,,,0,,
"PF08110013","av. Costa Brava - c. Dr. Fleming (CAP)","",41.647015310002786,2.73641400702814,,,0,,
"PF08110014","av. Costa Brava - c. Canigó","",41.65276154238394,2.7402096480831695,,,0,,
"PF08155013","Sant Lluís (ctra.Malgrat - av.Itaca) MB0312","",41.65952814126245,2.7513832181216364,,,0,,
"PF08155027","Sant Lluís (Marineland) (A)","",41.66057914357563,2.7521538912933843,,,0,,
"PF08155029","c. Ramon Turró (Sindicat)","",41.66725848095836,2.7503080468399475,,,0,,
"PF08155030","c. Ramon Turró (Poliesportiu Palauet)","",41.669523967444256,2.7503913106259814,,,0,,
"PF08155034","pg. Pau Casals - Riera Burgada MB0313","",41.67034117729668,2.7492687910081592,,,0,,
"PF08155040","pg. Pau Casals - c. Girona (A)","",41.672530597561156,2.749579248407001,,,0,,
"PF08155038","Santa Maria (c. Roig i Jalpí)","",41.67549530081509,2.7501969231014334,,,0,,
"PF08155022","Pla de la Ginesta - Molí d'en Puigverd (D) MB0682","",41.68784502667034,2.7444659911259293,,,0,,
"PF08284007","ctra. N-II (Fibracolor)","",41.694843669262404,2.724994754746034,,,0,,
"PF08284010","Veïnat de Sant Pere","",41.707231641410914,2.726324243093784,,,0,,
"PF08284013","plaça Concòrdia","",41.70098117322731,2.7167344087970298,,,0,,
"PF08259071","c. Joan Maragall (pl. Lluís Companys) MB0315","",41.69767520075655,2.7214784002279977,,,0,,
"PF08284006","Camí Ral - av. Països Catalans","",41.69498667649824,2.7208000415104796,,,0,,
"PF08187099","Hospital Parc Taulí","",41.55671344636072,2.1093334649785516,,,0,,
"PF08187102","Gran Via - c. Notari Herrán","",41.55809786696613,2.106664238376294,,,0,,
"PF08187041","Gran Via davant Hospital Taulí","",41.55656334265914,2.10914186067059,,,0,,
"PF08187080","pl. Antoni Llonch (estació d'autobusos) PNL","",41.54696923700532,2.115377870477342,,,0,,
"PF08187065","av. Barberà - c. Tetuan (Baixador) PNL","",41.538295243434156,2.1130384909917566,,,0,,
"PF08187083","av. Barberà (pl. Montserrat Roig)","",41.5359620097336,2.1141612642905683,,,0,,
