route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0663,184735,1606140,,,0,,,
0096,185377,1600998,,,1,,,
0096,185377,1601008,,,1,,,
0832,184732,1601021,,,1,,,
0832,184732,1601022,,,1,,,
0968,184732,1601083,,,1,,,
1087,185086,1601089,,,0,,,
1726,185019,1601778,,,1,,,
1726,185019,1601795,,,1,,,
0663,185377,1601872,,,0,,,
0717,185052,1601893,,,0,,,
1787,184862,1602245,,,1,,,
1587,185380,1602267,,,0,,,
1587,185380,1602268,,,0,,,
1587,185380,1602288,,,0,,,
0524,184732,1602289,,,1,,,
1030,184749,1602435,,,1,,,
1383,184732,1602474,,,1,,,
1383,184732,1602476,,,1,,,
0642,184735,1602596,,,1,,,
1603,184889,1602723,,,1,,,
1603,185171,1602725,,,1,,,
1706,186197,1602748,,,0,,,
0170,184683,1602954,,,1,,,
1598,184639,1602986,,,0,,,
1383,184732,1603016,,,1,,,
1587,185380,1603148,,,0,,,
0096,184735,1603167,,,0,,,
0571,184732,1603171,,,0,,,
0589,184732,1603213,,,0,,,
0008,185086,1603227,,,1,,,
0156,184870,1603233,,,0,,,
0170,184683,1603235,,,1,,,
0661,184732,1603245,,,1,,,
1114,184732,1603255,,,1,,,
0663,185377,1603330,,,0,,,
0663,184749,1603331,,,0,,,
1586,185380,1601970,,,0,,,
1587,185380,1601973,,,1,,,
1587,185380,1601985,,,1,,,
1587,185380,1601986,,,1,,,
0832,185380,1602103,,,1,,,
0832,185380,1602112,,,1,,,
0832,185380,1602124,,,1,,,
0832,185380,1602126,,,1,,,
0832,185380,1602128,,,1,,,
0832,185380,1602130,,,1,,,
1787,184862,1602199,,,1,,,
1624,186087,1601141,,,0,,,
1624,186087,1601143,,,0,,,
0663,185377,1601179,,,0,,,
0663,185380,1601229,,,0,,,
1006,184732,1601377,,,1,,,
1658,184732,1601553,,,0,,,
1309,185086,1601559,,,0,,,
1087,184862,1601612,,,0,,,
1035,184732,1601624,,,1,,,
1309,184732,1601678,,,1,,,
1309,185086,1601680,,,1,,,
1586,185380,1601746,,,1,,,
0679,184732,1581898,,,0,,,
0074,184735,1581973,,,0,,,
0412,185287,1582026,,,1,,,
0412,185287,1582040,,,1,,,
0589,184732,1582723,,,1,,,
0173,184861,1582790,,,0,,,
0715,186176,1582799,,,1,,,
0223,184732,1582817,,,0,,,
0295,184732,1583207,,,1,,,
0056,184732,1583208,,,1,,,
1008,186113,1583388,,,0,,,
1008,186113,1583407,,,0,,,
0641,184994,1583443,,,0,,,
0526,184862,1583612,,,1,,,
0720,184749,1583656,,,1,,,
0720,184732,1583665,,,0,,,
0207,185094,1583810,,,0,,,
0815,184732,1583814,,,0,,,
0815,186051,1583815,,,0,,,
0815,184732,1583816,,,1,,,
0407,184929,1583826,,,0,,,
0642,184735,1583967,,,0,,,
1533,184732,1583989,,,1,,,
0642,184732,1583996,,,0,,,
0642,184735,1584001,,,0,,,
1534,184732,1584008,,,1,,,
0642,184732,1584018,,,0,,,
0717,185053,1582895,,,1,,,
0717,185053,1582909,,,1,,,
0796,185310,1582956,,,1,,,
0761,185086,1582972,,,1,,,
0156,184870,1582201,,,1,,,
0156,184735,1582203,,,1,,,
0096,185380,1582342,,,0,,,
0096,185380,1582354,,,0,,,
0096,184735,1582370,,,1,,,
0096,185380,1582374,,,1,,,
0096,184735,1582382,,,1,,,
0096,184735,1582384,,,1,,,
0334,184732,1582482,,,1,,,
0663,184749,1582665,,,0,,,
0663,185380,1582666,,,0,,,
0406,184732,1588035,,,0,,,
0342,184732,1588041,,,1,,,
0550,185369,1588073,,,1,,,
0832,184732,1588129,,,0,,,
0832,184862,1588138,,,0,,,
0206,184749,1592924,,,1,,,
0206,184735,1592926,,,1,,,
0206,184732,1592932,,,1,,,
1656,185380,1592967,,,1,,,
1656,185380,1592974,,,0,,,
1656,185380,1592984,,,0,,,
1007,184749,1593000,,,1,,,
1626,184750,1589565,,,1,,,
1626,184750,1589575,,,1,,,
1626,184750,1589578,,,1,,,
1626,184750,1589581,,,1,,,
1626,184750,1589592,,,0,,,
1090,184938,1589677,,,0,,,
0968,184732,1590587,,,0,,,
1536,184814,1590604,,,0,,,
1537,184814,1590608,,,0,,,
0968,184735,1590642,,,0,,,
0968,184735,1590643,,,0,,,
1800,184766,1593046,,,1,,,
1032,184732,1593049,,,1,,,
1309,184735,1593117,,,1,,,
1087,184862,1589720,,,1,,,
0544,184732,1589750,,,1,,,
0544,184732,1589753,,,0,,,
0050,185080,1589777,,,1,,,
0074,184735,1589861,,,1,,,
0377,184732,1585841,,,0,,,
0377,184732,1585843,,,0,,,
0968,184749,1590657,,,1,,,
0968,184749,1590659,,,1,,,
0751,184870,1590746,,,1,,,
0717,185053,1590783,,,1,,,
0717,185271,1590794,,,0,,,
0206,185390,1590812,,,1,,,
0552,184732,1593299,,,1,,,
0552,184732,1593300,,,1,,,
1710,185483,1586026,,,0,,,
