service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,name
185676,0,0,0,0,0,0,0,20250601,20260601,"Nits de divendres i dissabte de l'1/10 al 31/05"
185677,0,0,0,0,0,0,0,20250601,20260601,"Nits de diumenge a dijous de l'1/06 al 30/09"
184658,0,0,0,0,0,0,0,20250601,20260601,"Diari excepte 25/12 i 1/1"
184659,0,0,0,0,0,0,0,20250601,20260601,"Dimecres i divendres feiners"
184656,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners excepte del 15/7 al 15/9, Nadal (26 al 31/12) i Dijous Sant"
185680,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/05 al 30/06 i de l'1/09 al 31/10"
185681,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners. De l'1/05 al 31/10"
185698,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners. De l'1/11 a diumenge de Rams"
184678,0,0,0,0,0,0,0,20250601,20260601,"Festius excepte agost, Nadal (26/12-31/12) i Dijous Sant"
185703,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners. De dilluns de Setmana Santa al 30/04"
186725,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners i dies festius"
184677,0,0,0,0,0,0,0,20250601,20260601,"Dissabtes feiners excepte agost i Nadal (26/12-31/12)"
185706,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners. De l'1/05 al 31/05 i del 26/09 al 31/10"
184683,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/04 al 31/10"
184681,0,0,0,0,0,0,0,20250601,20260601,"De divendres a diumenges"
